"Speaker","Speech"
"Chairman Shelby","The hearing will come to order. We are very pleased this morning to welcome Chairman Bernanke before the Committee on Banking, Housing, and Urban Affairs to provide his first testimony on the Federal Reserve Semiannual Monetary Policy Report to the Congress. On behalf of this Committee, I want to congratulate Dr. Bernanke on becoming only the 14th Chairman of the Federal Reserve Board. This Committee has had the opportunity to work with you in your previous tenure as Board Governor and as Chairman of the Council on Economic Advisors. We look forward to continuing that good and productive relationship as you guide the Federal Reserve System over the next years. Our hearing this morning serves as an important part of the Committee's oversight function over the Federal Reserve System. It is also an important mechanism for assuring that Congress maintains accountability over the Fed's policies and operations. Within broad statutory parameters, the Fed sets and implements U.S. monetary policy independent from the Congress and the President. This hearing, which is also required by statute, provides the Congress an opportunity to have an open and detailed discussion and debate about the Fed's monetary policy goals and their implementation. Chairman Bernanke, your testimony and report this morning note the economy's impressive performance in 2005. GDP growth continues to be strong and core inflation remain moderate. We also saw continued improvement in the labor markets with the number of jobs created and a low unemployment rate. At its meeting on January 31, the Federal Open Market Committee raised its target for the Federal funds rate by 25 basis points to 4.5 percent. This is the 14th increase since June 2004 when the FOMC began raising the target rate from a low of 1 percent. The Federal Open Market Committee will meet next at the end of March, its first session under your leadership. Clearly, new economic data will be reported and other events will transpire between now and then so you cannot tell us exactly what will happen at that meeting and you should not. However, our discussion this morning gives us the opportunity to discuss which factors will be significant in your deliberations leading up to that meeting. In that sense, we hope our hearing and discussion this morning can add to the transparency of the FOMC process. Mr. Chairman, this Committee is eager to hear your views on the future direction of our Nation's economy and how you plan to guide the Federal Reserve System in the months and years ahead. I look forward to raising a number of issues during our discussion this morning. Senator Reed, do you have an opening statement? "
"STATEMENT OF SENATOR JACK REED"," "
"Senator Reed","Thank you very much, Mr. Chairman, and thank you, Chairman Bernanke. Welcome and congratulations. You come to this job, Mr. Chairman, with considerable bipartisan goodwill, with very strong academic credentials, and a reputation for independent thinking, and you will need to draw on all these resources as you confront an economy that seems to be humming along on the surface, but in fact there is a number of lurking problems, problems such as large budget deficits, a record trade deficit, negative household saving rate, high energy prices, and a disappointing labor market recovery. All of these pose tremendous challenges in setting monetary policy. We welcome your championship of greater openness and demystification of the Fed. You really assured us during the confirmation process that you are sensitive to the multiple goals of monetary policy so I hope that you will continue the Greenspan model of responding to changing economic circumstances with flexibility rather than a rigid adherence to a predetermined policy. Now, critical tests will be balancing the goals of fighting inflation with allowing sufficient employment growth. These are difficult economic times for many Americans who are facing stagnant incomes, rising costs for health care, rising costs of home heating, rising costs for education, and so I hope, Chairman Bernanke, that you will look hard at the economic data at the FOMC meetings rather than allowing some type of rigid plan to take hold. GDP is growing, but the typical American worker has been left out of the economic gains of this recovery. Strong proprietary gains have shown up in the bottom lines of shareholders but not in the paychecks of many workers. Clearly, there is room for real wages to catch up with productivity before the Fed needs to worry about inflationary pressure from the labor market. Finally, I hope you keep your promise to not comment on the public policy matters beyond the realm of monetary policy and to remain politically independent. I think that will be a major service to the Nation. I look forward to your discussion about the issues that are important to all of us today and thank you, again, for not only attending but also your service."
"Chairman Shelby","Senator Bunning. "
"STATEMENT OF SENATOR JIM BUNNING"," "
"Senator Bunning","Thank you, Mr. Chairman. Welcome, Chairman Bernanke, to your first appearance before this Committee as Chairman of the Federal Reserve. I would like to point out that at the beginning of your hearing yesterday, the stock market indexes jumped and then fell throughout the hearing. Fortunately, after it was over they recovered and ended up back in positive territory. On the way out the door last month, Chairman Greenspan left us with another hike in interest rates to 4.5 percent. His recent comments, which came at a much higher price to his fellow diners than the taxpayers, seem to have tied your hands at the beginning of your term. You will not chair your first FOMC meeting until next month, but it is already taken for granted that another rate hike is coming and probably more after that. As I told Mr. Greenspan at his last appearance before this Committee, I do not think that increases are needed, especially with your projections of reasonable inflation for the coming year. I hope they do not continue until it is too late and damage is done. Our economy is strong and inflation is low, despite high energy prices. Several other factors pose dangers to sustained economic growth in the short and long terms. We all know that inverted yield curves have been a reliable indicator of trouble ahead. Increased Federal budget deficits cause uncertainty and long-term obligations will begin to soak up more and more capital that could be put to other productive uses. And our trade deficit means that we are more dependent on other countries to sustain our lifestyle and could lead to job loss if we do not begin to close the gap. Even with those negative factors hanging out there, the Fed paints a strong picture of the economy. During your confirmation process, I urged you to be independent of the other Fed Members, as well as Congress and the executive branch. I also stressed the importance of further openness at the Fed and the tolerance of other viewpoints. In other words, I would like to see less group-think. I criticized your predecessor for speaking out of place when it comes to policy matters that do not belong to the Fed. I encourage you to stay away from those discussions and I am glad that to some extent you did so yesterday. Something about this town makes people want to be liked. The longer someone stays here, the more they seem to want to be liked. Maybe it has something to do with one day getting paid more than your previous salary for attending a few dinners and not even having to pay for your own food. Do not fall into that trap and do not be afraid to tell people ``no.'' It is an uncommon thing to say around here, but do not try to follow in the footsteps of your predecessor. In other words, be yourself, do not be ``Greenspan-lite.'' I hope when your time at the Fed is over people will look back and see a record of doing no harm. I think the decisions you and the other Board Members make in the next few months will have a lot to do with the success of your leadership at the Fed. Thank you, Mr. Chairman, and I look forward to asking some questions."
"Chairman Shelby","Senator Menendez. "
"STATEMENT OF SENATOR ROBERT MENENDEZ"," "
"Senator Menendez","Thank you, Mr. Chairman. Mr. Chairman, welcome, congratulations. We are pleased to welcome you, as a fellow New Jersian, and we know that you will do an exceptional job in this regard. I certainly look forward to your testimony today and to some of the challenges I think we face: The cooling off of the housing market and what that may mean, rising energy prices, consequences of deficit and debt, a variety of global influences, and a dynamic, modern economy that we have. Those are all the challenges that you face before you and so we look forward to your stewardship in meeting, having a steady hand in the midst of all of the dynamic realities that we face, so we look forward to hearing your testimony, and once again congratulations on your appointment, Mr. Chairman."
"Chairman Shelby","Thank you. Senator Sununu. "
"STATEMENT OF SENATOR JOHN E. SUNUNU"," "
"Senator Sununu","Thank you, Mr. Chairman, and welcome,"
