Speaker,Speech,Type,Comments
"Chairman Reed","Let me call the hearing to order. I want to thank all of our witnesses for joining us this afternoon. I am particularly happy to welcome back Chairman Schapiro. Thank you. And also I want to thank Chairman Gensler for asking to testify before us on the derivatives issue, which gives us a chance to talk directly to you about this issue which transcends several different agencies, and also Pat White from the Federal Reserve. Thank you. I also, obviously, want to recognize Chairman Harkin and his colleagues on the Agriculture Committee for their longstanding work on derivatives issues, and I look forward to having both Committees coordinate closely as we work to provide transparency and reduce risk in the financial sector. This week, we find ourselves more focused than ever on the important work of modernizing an outdated financial regulatory system. I have called this hearing to explore one of the key aspects of such reforms: to modernize the regulation of the over-the-counter derivatives markets and the institutions that participate in these markets. Both exchange-traded and over-the-counter markets have grown extremely rapidly over the past decade. Until the recent downturn of the economic markets, every category of derivatives saw almost a decade of extreme growth, in many cases more than tripling or quadrupling trading volumes. According to data compiled by the Congressional Research Service, between 2000 and 2008, the number of financial futures contracts traded on exchanges rose by 425 percent, and the total notional amount of over-the-counter contracts outstanding rose by 522 percent over that period, representing trillions of dollars of trading. This afternoon's hearing will focus in particular on over- the-counter derivative markets which today are subject to no direct regulation. One of the key questions we will examine is the extent to which existing and emerging derivatives markets should be subject to regulatory oversight. Until recently, the prevailing presumption was that market discipline alone largely protected us from any potential risks we faced from OTC derivatives. But we received a wake-up call, having had to seize AIG to keep its credit default swaps, worth trillions of dollars, from greatly exacerbating the financial crisis. It is now clearer than ever that we need to find ways to make these markets much more transparent and to ensure that the dealers and other users of these markets do a better job than AIG of ensuring that their derivative activities do not threaten the stability of the overall financial system. But we face difficult questions as we move forward in accomplishing this goal. These products are often extremely complex, and there is an equally complex history of regulation, or lack thereof, of such products. As a result, we need to take a careful and thoughtful approach to these issues. There is no doubt that improving the regulation and oversight of derivatives markets, and those who trade in them, is a key part of modernizing our financial regulatory system. I hope my colleagues and our witnesses will help us identify the key steps that we can and should take right now to address the serious problems that we are confronting. For example, what key decisions need to be considered as Congress weighs proposals to move more over-the-counter derivatives to central counterparties or exchanges? How do various proposals to enhance oversight of OTC derivatives affect different market participants? How does the issue of improved OTC derivatives regulation relate to broader regulatory reform issues, such as the creation of a new systemic risk regulator? And to what extent do U.S. efforts require international coordination? And these are just a few of the challenging questions that we will face together, and we will rely on your expertise and your insights as we go forward. At this time, I would like to call on the Ranking Member, Senator Bunning, for his comments. Senator Bunning.",Speech,
"Senator Bunning","Thank you, Mr. Chairman. I appreciate all of our witnesses coming here today for this very important hearing. It is important for everyone to understand the financial nature of derivatives and, thus, the Banking Committee's interest in overseeing them. Let me say at the beginning that I do not know what regulations and restrictions we should put on these products. Figuring that out is the purpose of this hearing. But it should be clear to everyone that the current regulations are not enough. I understand the desire of firms to hedge their risks, whether those risks are interest or exchange rates, commodity prices, credit exposure, or something else. Genuine hedges that are accurately priced can provide the risk management that firms need. But it is not clear that all derivative products are genuine hedges or accurately priced. In fact, some look a lot more like a way to get around regulations and proper risk management, or just plain gambling. Regulators in the public need a better understanding of all the exposures of firms to eliminate uncertainty and the justification for further bailouts. Increased transparency and standardization of derivative contracts will help and must be accomplished. How far standardization requirements should go depends on whether there are true economic benefits to the custom products that outweigh the costs and risks associated with them. So far, specific and credible evidence on that point is thin. Credit derivatives may present the toughest questions. Should these products be treated as insurance with proper reserves? Should the buyer have an insurable interest and have to suffer actual losses or deliver the reference assets? How do we make sure credit protection does not undermine credit research or lead creditors to push debtors into bankruptcy? Should they even exist if not traded on an exchange? Someone has to bear the risk of every financial transaction so we must not allow the wizards of finance to pretend it has disappeared. Finally, just like with banks, we must eliminate the opportunity to avoid or choose favorable regulators or regulations. Similar activity must be regulated the same way by the same regulator. Otherwise, firms will be able to game the system, and regulators will not be able to effectively enforce the rules. Thank you, Mr. Chairman.",Statement,STATEMENT OF SENATOR JIM BUNNING
"Chairman Reed","Thank you, Senator Bunning. Senator Crapo, do you have an opening statement?",Speech,
"Senator Crapo","I do, if I could, Mr. Chairman.",Speech,
"Chairman Reed","Please.",Speech,
"Senator Crapo","First of all, Mr. Chairman, let me thank you for holding this hearing. I believe that although there is a breadth of derivative action in our economy, I believe that a significant amount, if not the significant majority of the amount of those transactions falls under the jurisdiction of this Committee, and I appreciate your attention to that fact. I also agree with the comments that both the Chairman and Ranking Member have made. Recent events in the credit markets have highlighted the need for greater attention to risk management practices, and counterparty risk in particular; and although I agree with the need to focus on where we can standardize and the types of risk reduction and better practices that we need to address, I also want in my remarks to just focus very quickly on one specific part of it, and that is, not letting the pendulum swing too far to the other side to where we cause damage to an efficient economy. The creation of clearinghouses and increased information to trade information warehouses are positive steps to strengthen the infrastructure for clearing and settling credit default swaps. While central counterparty clearing and the exchange trading of simple standardized contracts has the potential to reduce risk and increase market efficiency, market participants must be permitted to continue to negotiate customized bilateral contracts in over-the-counter markets. Many businesses use over-the-counter derivatives to minimize the impact of commodity price, interest rate, and exchange rate volatility in order to maintain stability in earnings and predictability in their operations. If Congress overreaches or bans or generates significant uncertainty with regard to the legitimacy of decisions to customize individual OTC derivatives transactions, I believe there could be very significant negative implications on how companies manage risk. In the contemplation of this hearing and this issue, Mr. Chairman, I actually requested that a number of the end users of these types of transactions respond to a question about what increased flexibility or reduction of flexibility would do, and at this time, I would like to just share three or four examples of the responses that I received. David Dines, the President of Cargill Risk Management, indicates, ``While margining and other credit support mechanisms are in place and utilized every day in the OTC markets, there is flexibility in the credit terms, the credit thresholds and types of collateral that can be applied. This flexibility is a significant benefit for end users of OTC derivatives such as Cargill in managing working capital. Losing this flexibility is particularly concerning because mandatory margining will divert working capital from investments that can grow our business and idle it in margin accounts. While it depends on market conditions, the diversion of working capital from Cargill for margining could be in excess of $1 billion. Multiply this across all companies in the United States and the ramifications are enormous, especially at a time when credit is critically tight.'' Kevin Colgan, the Corporate Treasurer of Caterpillar: ``Our understanding of currently pending regulation in this area is that it would require a clearing function which would standardized terms like `duration' and `amount.' Any standardization of this type would prohibit us from matching exactly the terms and underlying exposure we are attempting to hedge. Thus, in turn it would expose us to uncovered risk and introduce needless volatility into our financial crisis.'' I have a number of other examples which I will insert for the record, Mr. Chairman.",Statement,STATEMENT OF SENATOR MIKE CRAPO
"Chairman Reed","Without objection.",Speech,
"Senator Crapo","And if possible, I would like the permission of the Committee to insert the letters that I received in response to these inquiries into the record. I may get another in the next couple of days. The bottom line, Mr. Chairman, is I completely agree with the need to do as much as we can to assure that we have covered the risks in our economy that have been created by the utilization of these types of derivatives, the different types of derivatives, credit default swaps, for example. I just believe that we want to pay very careful attention to making sure that we do what is necessary to protect and strengthen our markets and that we leave flexibility where it is necessary and helpful for the utilization of these credit instruments to advance the interests of our businesses.",Speech,
"Chairman Reed","Thank you, Senator Crapo. I think you have illustrated the challenges ahead very well in terms of that balance. Senator Bennet, do you have an opening statement?",Speech,
"Senator Bennet","I do not, Mr. Chairman. Thank you for holding the hearing, and I am very appreciative that the witnesses are here.",Speech,
