Speaker,Speech,Type,Comments
"Chairman Dodd","Mr. Chairman, welcome. I hope that was instructive for you, Mr. Chairman.",Speech,
"Chairman Dodd","I am sure the Federal Reserve operates in a similar pattern as we do here on the Banking Committee. Do you get as much luck as the Chairman as I just did on that? Well, let me tell you how we will proceed here this morning, and we welcome you, Mr. Chairman, to the Committee. We have got a good turnout of our Members here for all the obvious reasons. When the Chairman of the Federal Reserve comes before our Committee, it is obviously of deep interest to the country, and we welcome you here this morning. I will take a few minutes for some opening comments, turn to Senator Shelby for any opening comments he may have, and then we will go right to you, Mr. Chairman, for your statement this morning, and we will try and follow the 5-minute rule so that everybody gets a chance to raise questions with you. And if we need a second round, we will do so. The record will stay open for a few days to submit questions, and any and all statements, documents, and other materials that my colleagues and others feel would be important to include in the record will be considered included at this moment, without objection. Well, Chairman Bernanke, we welcome you to the Committee to present the Fed's semiannual monetary policy report to the U.S. Congress. We meet obviously at a very important moment for our country, with our Nation in the midst of the worst economic crisis in generations. Since the end of World War II, America's business cycles have oscillated between periods of growth and rising inflation, with the Fed raising interest rates to slow the economy, creating a recession, which then caused inflation to slow. The Fed then typically lowered interest rates, restarting the Nation's economy again. And while the Fed manages our recessions, our economic recoveries have typically been led by the housing and automobile sectors, which are highly sensitive to interest rates. In the past, the typical American worker saved during the good times for rainy days, and when recession hit, they may have been laid off. But once the recession receded, they not only had some savings hopefully stored up, but also a reasonably good chance of getting their jobs back or finding new employment. This time, however, Mr. Chairman, our housing and auto sectors are leading us not out of recession but into it in many ways. This time our recession is being caused not by rising interest rates but, rather, a massive credit crunch, resulting from years of reckless spending and, as the Banking Committee has uncovered during the 80 hearings and meetings in the last Congress, regulatory neglect as well. Such neglect allowed for and even encouraged a problem that began in the subprime mortgage market to spread throughout our Nation and the entire global financial system like a cancer. This time, nearly half the jobs we have lost are not likely to come back, we are told, and that is why the American Recovery and Reinvestment Act is so essential. This time, the American people entered this recession with a negative personal savings rate and a false sense of confidence that we can count on the value of our homes and stocks to go up forever. In fact, Mr. Chairman, I read with great interest that your own boyhood home recently went into foreclosure. I am saddened by that, as I am sure you are. Most recently, that home was owned by a soldier in the South Carolina Army National Guard, who reportedly volunteered to go on active duty during wartime in order to try and save his home and your former home. Mr. Chairman, I do not suggest that you are to blame for any of this. Quite the contrary. I happen to commend your conduct of monetary policy during your tenure. Last year, you began to cut interest rates in the face of opposition from some regional bank presidencies at the Fed. You followed through on your commitment that you made, a meeting which I will never, ever forget in August of 2007, when you were in my office with Hank Paulson. And I will never forget the words you spoke to me that day when asked what we could about the problems, and you said at that time you would use all the tools at your disposal to attack the problems in the global financial market. And I commended you for those comments then, and your efforts, through aggressive and often innovative monetary policy. You have worked creatively to adapt the Fed to handle the greatest financial market crisis in any of our lifetimes. If, as it is said, those who do not study history are doomed to repeat its mistakes, I am relieved we have one of the foremost scholars of the Great Depression at the helm of the Fed at this moment. But for all the successes the Fed has had in carrying out its core mission--monetary policy--its regulation and consumer protection missions have been abject failures, in my view. And while many of these failures predate your arrival, they cannot be ignored. When I am approached by a constituent in New London, Connecticut, for instance, who was outraged that some of these banks were allowed to grow into behemoths and given a clean bill of health, only to turn around months later on the verge of bankruptcy, asking for billions of dollars in taxpayer funding, I am reminded of the shortcomings in the Fed's regulation of bank holding companies. When a family in Bridgeport, Connecticut, with their 5,000 foreclosures in that one city in my home State pending, who have lost everything ask me where the cops were on the beat, where were they to stop the abusive predatory mortgages from being written, I am reminded of the Fed's failure to implement the law Congress passed in 1994 to protect consumers and regulate mortgage lending practices. When I learn a direct marketing business in greater Hartford has to close its doors, not because they missed a payment to their bank but because the bank is having capital problems, I cannot help but remember your predecessor's fondness for ``regulatory competition,'' as he called it, for actually encouraging bank regulators to compete with one another to see who could provide the most effective regulation of our banks, but apparently at the least. As a result, today countless banks are left with dangerously low cash reserves and a massive buildup of leverage, which have created a veritable boomerang of debt that has now snapped back, ensnaring countless honest small businesses in the process. Finally, when I am asked how our Government could have allowed these toxic financial products to proliferate, products that served to dilute the appearance of risk rather than the risk itself, I remember the Federal Reserve's mantra of financial innovation and its leaders' repeated warnings against any additional Government regulation of any kind. I remember very, very clearly the mood in January of 2007 when I became Chairman of this Committee and the mantra--the mantra in those months was, ``Deregulate, fast, before everyone runs to London.'' Mr. Chairman, you have an extraordinarily difficult task ahead of you, not only to fulfill the Fed's primary mandate to conduct monetary policy to create maximum economic growth, full employment, and price stability, you do so in the face of an economy in deep recession, closing credit markets and unemployment rising at its fastest pace in a generation, having already cut interest rates to almost zero. You do so managing a balance sheet that has spiked to $2 trillion and now includes the remnants of an investment bank and the control of the world's largest insurance company. You do so having to conduct monetary policy in ways never tried before to unlock frozen credit markets, and you do so with an agency whose structure is virtually unchanged since its creation in 1913, when nearly a third of the Americans worked on farms, even as your mission has expanded exponentially from regulating the smallest banks in the country to the largest bank holding companies, from protecting consumers to being the lender of last resort for any company in the Nation. Mr. Chairman, I would say your plate is full, to put it mildly. As this Committee works to modernize our Nation's financial regulatory structure, the question is whether we should be giving you a bigger plate or whether we should be putting the Fed on a diet. I do not question your track record on monetary policy, as I have said--the Fed's primary goal. But when you keep asking an agency to take on more and more and more, it becomes less and less and less likely that the agency will succeed at any of it. And at the same moment, in my view, nothing will be more important for the Federal Reserve than getting monetary policy right. It is absolutely paramount, and I know you know that as well. So we welcome you to this Committee, and let me turn to Senator Shelby for any opening comments he may have.",Speech,
"Senator Shelby","Thank you, Chairman Dodd. Chairman Bernanke, we welcome you back to the Committee. You have spent a lot of time with us. The economic and financial climate has deteriorated significantly since our last monetary policy hearing in July of 2008. In response to the Congress, the administration and the Federal Reserve have taken dramatic steps to navigate our way through this crisis. Since last summer, the Federal Reserve's balance sheet has more than doubled in size and presently stands at about $2 trillion. This expansion is a result of extraordinary actions taken by you and the members of the Board of Governors. Some of these actions were institution specific while others involved establishing new programs aimed at providing liquidity to the banking system and unfreezing credit markets. Because it would take too much of our time this morning to describe each action and program in detail, I will be brief and only discuss a few of them. I would, however, strongly encourage Chairman Dodd to conduct hearings on all of these programs. The Federal Reserve has provided assistance to several large financial entities, according to their words, ``in order to ensure financial market stability.'' Acting along with Treasury and the FDIC, the Federal Reserve has intervened to rescue Citigroup and Bank of America by providing a backstop for large pools of their loans. The Federal Reserve has extended the safety net beyond the banking system by establishing two new lending facilities in connection with the bailout of AIG. These facilities are winding down AIG's holdings and mortgage-backed securities and credit default swap contracts. The Federal Reserve will continue to run a virtual alphabet soup of liquidity facilities through April 30, 2009, at the least. In more recent months, the Federal Reserve announced initiatives aimed specifically at stabilizing our housing and securitization markets. The Fed has announced that it will purchase up to $100 billion in debt obligations of Fannie Mae, Freddie Mac, and Federal home loan banks, as well as up to $500 billion of mortgage-backed securities backed by Fannie Mae, Freddie Mac, and Ginnie Mae. Most recently, with securitization markets for all types of consumer credit virtually frozen, the Federal Reserve has announced the establishment of the Term Asset-backed Securities Loan Facility, or TALF. Under the TALF, the Federal Reserve Bank of New York will lend up to $200 billion on a non-recourse basis to holders of certain AAA-rated asset-backed securities backed by newly and recently originated consumer and small business loans. The New York Fed will lend an amount equal to the market value of the ABS less a haircut. The U.S. Treasury Department under the TARP will provide $20 billion of credit protection to the New York Fed in connection with the TALF. Given the scope of the Federal Reserve's recent actions, it seems unlikely that any future student will conclude that today's Federal Reserve was too timid in the face of this crisis, Mr. Chairman. Whether the Federal Reserve pursued the most effective actions will be another question, and that will also be the case for the efforts of the administration and the Congress, too. I hope that this Committee will use today's hearing to explore the effectiveness of the Federal Reserve's recent actions. One of the questions foremost in my mind, Mr. Chairman, is whether the Federal Reserve has thought about the long-term implications of its programs, its new programs. Chairman Bernanke, you have already begun discuss the need for an exit strategy, some of which will happen as credit conditions return to normal. Some of the new programs, however, have longer maturities. This presents a problem not only to you but for us. How do you decide when and how to remove the Federal Reserve from the market? This uncertainty may require the Fed to provide more clarity on when and how it will terminate these programs. In addition, Mr. Chairman, the Federal Reserve is likely to take more credit risk through the TALF than is customarily the case of its lending operations. This raises additional questions about transparency and what taxpayers should expect, and perhaps demand, from the Federal Reserve. Hopefully, Chairman Bernanke can begin to address these and other questions today. Thank you, Chairman.",Statement,STATEMENT OF SENATOR RICHARD C. SHELBY
"Chairman Dodd","Thank you very much, Senator. Let me just inform my colleagues, by the way, that there will be a vote at 11:15 on the D.C. voting rights bill, and, Senator Menendez, we will try and work it so we just continue with the hearing and go in tranches. We use the word ``tranche'' a lot these days, so we go in tranches to vote and continue the process of the Committee. Mr. Chairman, we thank you again for being before us this morning, and we welcome your statement.",Speech,
"Mr. Bernanke","Thank you. Chairman Dodd, Senator Shelby, and Members of the Committee, I appreciate the opportunity to discuss monetary policy and the economic situation and to present the Federal Reserve's monetary policy report to the Congress. As you are aware, the U.S. economy is undergoing a severe contraction. Employment has fallen steeply since last autumn, and the unemployment rate has moved up to 7.6 percent. The deteriorating job market, considerable losses of equity and housing wealth, and tight lending conditions have weighed down on consumer sentiment and spending. In addition, businesses have cut back capital outlays in response to the softening outlook for sales, as well as the difficulty of obtaining credit. In contrast to the first half of last year, when robust foreign demand for U.S. goods and services provided some offset to weakness in domestic spending, exports slumped in the second half as our major trading partners fell into recession and some measures of global growth turned negative the first time in more than 25 years. In all, U.S. real gross domestic product declined slightly in the third quarter of 2008, and that decline steepened considerably in the fourth quarter. The sharp contraction in economic activity appears to have continued into the first quarter of 2009. The substantial declines in the prices of energy and other commodities last year and the growing margin of economic slack have contributed to a substantial lessening of inflation pressures. Indeed, overall consumer price inflation measured on a 12-month basis was close to zero last month. Core inflation, which excludes the direct effects of food and energy prices, also has declined significantly. The principal cause of the economic slowdown was the collapse of the global credit boom and the ensuing financial crisis, which has affected asset values, credit conditions, and consumer and business confidence around the world. The immediate trigger of the crisis was the end of the housing booms in the United States and other countries and the associated problems in mortgage markets, notably the collapse of the U.S. subprime mortgage market. Conditions in housing and mortgage markets have proved a serious drag on the broader economy, both directly through their impact on residential construction and related industries and on household wealth, and indirectly through the effects of rising mortgage delinquencies on the health of financial institutions. Recent data show that residential construction and sales continue to be very weak, house prices continue to fall, and foreclosure starts remain at very high levels. The financial crisis intensified significantly in September and October. In September, the Treasury and the Federal Housing Finance Agency placed the Government-sponsored enterprises Fannie Mae and Freddie Mac into conservatorship, and Lehman Brothers Holdings filed for bankruptcy. In the following weeks, several other large financial institutions failed, came to the brink of failure, or were acquired by competitors under distressed circumstances. Losses at a prominent money market mutual fund prompted investors, who had traditionally considered money market mutual funds to be virtually risk free, to withdraw large amounts from such funds. The resulting outflows threatened the stability of short-term funding markets, particularly the commercial paper market, upon which corporations rely heavily for their short- term borrowing needs. Concerns about potential losses also undermined confidence in wholesale bank funding markets, leading to further increases in bank borrowing costs and a tightening of credit availability from banks. Recognizing the critical importance of the provision of credit to businesses and households from financial institutions, the Congress passed the Emergency Economic Stabilization Act last fall. Under the authority granted by this act, the Treasury purchased preferred shares in a broad range of depository institutions to shore up their capital basis. During this period, the FDIC introduced its Temporary Liquidity Guarantee Program, which expanded its guarantees of bank liabilities to include selected senior unsecured obligations and all non-interest-bearing transactions deposits. The Treasury, in concert with the Federal Reserve and the FDIC, provided packages of loans and guarantees to ensure the continued stability of Citigroup and Bank of America, two of the world's largest banks. Over this period, governments in many foreign countries also announced plans to stabilize their financial institutions, including through large-scale capital injections, expansions of deposit insurance, and guarantees of some forms of bank debt. Faced with the significant deterioration of financial market conditions and the substantial worsening of the economic outlook, the Federal Open Market Committee continued to ease monetary policy aggressively in the final months of 2008, including a rate cut coordinated with five other major central banks. In December, the FOMC brought its target for the Federal funds rate to a historically low range of zero to one-quarter percent, where it remains today. The FOMC anticipates that economic conditions are likely to warrant exceptionally low levels of the Federal funds rate for some time. With the Federal funds rate near its floor, the Federal Reserve has taken additional steps to ease credit conditions. To support housing markets and economic activity more broadly and to improve mortgage market functioning, the Federal Reserve has begun to purchase large amounts of agency debt and agency mortgage-backed securities. Since the announcement of this program last November, the conforming fixed mortgage rate has fallen nearly 1 percentage point. The Federal Reserve also established new lending facilities and expanded existing facilities to enhance the flow of credit to businesses and households. In response to the heightened stress in bank funding markets, we increased the size of the Term Auction Facility to help ensure that banks could obtain the funds they need to provide credit to their customers, and we expanded our network of swap lines with foreign central banks to ease conditions in interconnected dollar funding markets at home and abroad. We also established new lending facilities to support the functioning of the commercial paper market and to ease pressures on money market mutual funds. In an effort to restart securitization markets to support the extension of credit to consumers and small businesses, we joined with the Treasury to announce the Term Asset-backed Securities Loan Facility, or TALF. The TALF is expected to begin extending loans soon. The measures taken by the Federal Reserve, other U.S. Government entities, and foreign governments since September have helped to restore a degree of stability to some financial markets. In particular, strains in short-term funding markets have eased notably since last fall, and London Interbank Offered Rates, or LIBOR, upon which borrowing costs for many households and businesses are based, have decreased sharply. Conditions in the commercial paper market also have improved, even for lower-rated borrowers, and the sharp outflows from money market mutual funds seen in September have been replaced by modest inflows. Corporate risk spreads have declined somewhat from extraordinarily high levels, although these spreads remain elevated by historical standards. Likely spurred by the improvements in pricing and liquidity, issuance of investment-grade corporate bonds has been strong, and speculative-grade issuance, which was near zero in the fourth quarter, has picked up somewhat. As I mentioned earlier, conforming fixed mortgage rates for households have declined. Nevertheless, despite these favorable developments, significant stresses persist in many markets. Notably, most securitization markets remain shut other than that for conforming mortgages, and some financial institutions remain under pressure. In light of ongoing concerns over the health of financial institutions, the Secretary of the Treasury recently announced a plan for further actions. This plan includes four principal elements. First, a new Capital Assistance Program will be established to ensure that banks have adequate buffers of high-quality capital based on results of comprehensive stress tests to be conducted by the financial regulators, including the Federal Reserve. Second is a Private-Public Investment Fund in which private capital will be leveraged with public funds to purchase legacy assets from financial institutions. Third, the Federal Reserve, using capital provided by the Treasury, plans to expand the size and scope of the TALF to include securities backed by commercial real estate loans and potentially other types of asset-based securities as well. And, fourth, the plan includes a range of measures to help prevent unnecessary foreclosures. Together, over time, these initiatives should further stabilize our financial institutions and markets, improving confidence and helping to restore the flow of credit needed to promote economic recovery. The Federal Reserve is committed to keeping the Congress and the public informed about its lending programs and balance sheet. For example, we continue to add to the information shown in the Fed's H41 statistical release, which provides weekly detail on the balance sheet and the amounts outstanding for each of the Federal Reserve's lending facilities. Extensive additional information about each of the Federal Reserve's lending programs is available online. The Fed also provides bimonthly reports to the Congress on each of its programs that rely on the Section 13(3) authorities. Generally, our disclosure policies reflect the current best practices of major central banks around the world. In addition, the Federal Reserve's internal controls and management practices are closely monitored by an independent Inspector General, outside private sector auditors, and internal management and operations divisions, and through periodic reviews by the Government Accountability Office. All that said, we recognize that recent developments have led to a substantial increase in the public's interest in the Fed's programs and balance sheet. For this reason, we at the Fed have begun a thorough review of our disclosure policies and the effectiveness of our communication. Today, I would like to highlight two initiatives. First, to improve public access to information concerning Fed policies and programs, we recently unveiled a new section of our Web site that brings together in a systematic and comprehensive way the full range of information that the Federal Reserve already makes available, supplemented by explanations, discussions, and analyses. We will use that Web site as one means of keeping the public and the Congress fully informed about Fed programs. Second, at my request, Board Vice Chairman Donald Kohn is leading a committee that will review our current publications and disclosure policies relating to the Fed's balance sheet and lending policies. The presumption of the committee will be that the public has the right to know and that the non-disclosure of information must be affirmatively justified by clearly articulated criteria for confidentiality based on factors such as reasonable claims to privacy, the confidentiality of supervisory information, and the need to ensure the effectiveness of policy. In their economic projections for the January FOMC meeting, monetary policymakers substantially marked down their forecasts for real GDP this year relative to the forecast they had prepared in October. The central tendency of their most recent projections for real GDP implies a decline of one-and-one-half percent to one-and-one-quarter percent over the four quarters of 2009. These projections reflect an expected significant contraction in the first half of this year, combined with an anticipated gradual resumption of growth in the second half. The central tendency for the unemployment rate in the fourth quarter of 2009 was marked up to a range of eight-and-a- half percent to eight-and-three-quarters percent. Federal Reserve policymakers continue to expect moderate expansion next year, with a central tendency of two-and-a-half percent to three-and-a-quarter percent growth in real GDP and a decline in the unemployment rate by the end of 2010 to a central tendency of 8 percent to eight-and-a-quarter percent. FOMC participants marked down their projections for overall inflation in 2009 to a central tendency of one-quarter percent to 1 percent, reflecting expected weakness in commodity prices and the disinflationary effects of significant economic slack. The projections for core inflation also were marked down to a central tendency bracketing 1 percent. Both overall and core inflation are expected to remain low over the next 2 years. This outlook for economic activity is subject to considerable uncertainty, and I believe that, overall, the downside risks probably outweigh those on the upside. One risk arises from the global nature of the slowdown, which could adversely affect U.S. exports and financial conditions to an even greater degree than currently expected. Another risk arises from the destructive power of the so- called adverse feedback loop in which weakening economic and financial conditions become mutually reinforcing. To break the adverse feedback loop, it is essential that we continue to complement fiscal stimulus with strong government action to stabilize financial institutions and financial markets. If actions taken by the administration, the Congress, and the Federal Reserve are successful in restoring some measure of financial stability, and only if that is the case, in my view, there is a reasonable prospect that the current recession will end in 2009 and that 2010 will be a year of recovery. If financial conditions improve, the economy will be increasingly supported by fiscal and monetary stimulus, the salutary effects of the steep decline in energy prices since last summer, and the better alignment of business inventories and final sales, as well as the increased availability of credit. To further increase the information conveyed by the quarterly projections, FOMC participants agreed in January to begin publishing their estimates of the values to which they expect key economic variables to converge over the longer run, say at a horizon of 5 to 6 years, under the assumption of appropriate monetary policy and in the absence of new shocks to the economy. The central tendency for the participants' estimates of a longer run growth rate of real GDP is two-and-a- half percent to two-and-three-quarters percent. As to the longer rate of unemployment, it is four-and-three-quarter percent to 5 percent. And as to the longer rate of inflation, it is one-and-three-quarter percent to 2 percent, with the majority of participants looking for 2 percent inflation in the long run. These values are all notably different from the central tendencies of the projections for 2010 and 2011, reflecting the view of policymakers that a full recovery of the economy from the current recession is likely to take more than 2 or 3 years. The longer-run projections for output growth and unemployment may be interpreted as the Committee's estimates of the rate of growth of output and the unemployment rate that are sustainable in the long run in the United States, taking into account important influences such as the trend in growth rates of productivity in the labor force, improvements in worker education and skills, the efficiency of the labor market at matching workers and jobs, government policies affecting technological development, or the labor market and other factors. The longer-run projections of inflation may be interpreted, in turn, as the rate of inflation that FOMC participants see as most consistent with the dual mandate given to it by the Congress, that is the rate of inflation that promotes maximum sustainable employment while also delivering reasonable price stability. This further extension of the quarterly projection should provide the public a clearer picture of the FOMC's policy strategy for promoting maximum employment and price stability over time. Also, increased clarity about the FOMC's views regarding longer-run inflation should help to better stabilize the public's inflation expectations, thus contributing to keeping actual inflation from rising too high or falling too low. At the time of our last monetary policy report, the Federal Reserve was confronted with both high inflation and rising unemployment. Since that report, however, inflation pressures have receded dramatically while the rise in the unemployment rate has accelerated and financial conditions have deteriorated. In light of these developments, the Federal Reserve is committed to using all available tools to stimulate economic activity and to improve financial market functioning. Toward that end, we have reduced the target for the Federal Funds Rate close to zero and we have established a number of programs to increase the flow of credit to key sectors of the economy. We believe that these actions, combined with the broad range of other fiscal and financial measures being put into place, will contribute to a gradual resumption of economic growth and improvement in labor market conditions in a context of low inflation. We will continue to work closely with the Congress and the administration to explore means of fulfilling our mission of promoting maximum employment and price stability. Thank you, Mr. Chairman.",Statement,STATEMENT OF BEN S. BERNANKE, CHAIRMAN, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM
"Chairman Dodd","Thank you very much, Mr. Chairman. I am going to try to follow this 5-minute rule pretty carefully today with a lot of Members here so we get around the table as quickly as we can. I am not a Pollyanna, nor are you, and so I don't want to overstate the case, but I found the paragraph, the second paragraph on page four, in reading your statement last evening, and the words on page seven, where you talk about the possibility of coming out of this recession in 2010, to be encouraging. I wanted, in the context of your responses today-- because obviously, the risk is on the downside. Your statement is pretty stark and certainly a bleak picture, but there is some hope that I think it is important for us to transmit to the American people, as well, that we can and we will get out of this along the way. I think confidence and building that confidence, not false confidence but confidence based on tough decisions that we can make and should make, I think are important to communicate, as well. Let me, if I can, raise two quick questions with you. I had a town hall meeting on Sunday in Manchester, Connecticut, at Manchester Community College, on higher education, how to navigate student loans. A couple raised a question after we had a presentation of what steps could be taken and the kind of information available for people and they got up and they said, look, we have put aside. We bought stock. We did things to prepare for our children's education and all of a sudden it is gone. Here we are with children age 15, 16, or 17 getting ready now to go on and the very nest egg we were building for them is no longer there. In a sense, what I would like to ask you, given the fact that we have seen an 18 percent decline in the housing values, a 40 percent decline in the stock market over the last several years, can people who are in an age group--put aside education for a minute, the student loans--can people on the brink of retirement, in your view, can they retire? Are people going to be prohibited from retiring because of what they have lost in the value of their homes and in the stock market, 401(k), for instance?",Speech,
"Mr. Bernanke","Well, Mr. Chairman, it is going to depend on individual circumstances. I am afraid it is the case that some people will find that their assets are not, at this point, adequate to allow them to retire as they had planned. Many people have suffered from losses in asset values. It is in part related to a correction relative to perhaps inflated asset values, particularly in the housing market, prior to this time. But we are also seeing very heavy risk aversion and liquidity premiums, that is, people are just very, very averse to risk at this point and that is also driving down asset prices. So I understand that this is a very difficult situation for savers as it is for workers and homeowners, and all I can say is the Federal Reserve is committed to doing everything we can to restore economic stability. I do believe that once the economy begins to recover, we will see improvements in financial markets. In fact, I think those two things go very closely together.",Speech,
"Chairman Dodd","So your statement or your response would be that, one, it would depend on individual cases, but that you believe that people will be able to retire with some security.",Speech,
"Mr. Bernanke","Well, I certainly hope so. Certainly, Social Security and other programs, defined benefit plans, still remain. But I know from my own case and my friends and relatives that losses in defined contribution retirement funds have been significant, particularly in stock portfolios, and that is certainly going to affect people's plans in the short term. I am hopeful that we will see some improvement as the economy improves over the next year or two.",Speech,
"Chairman Dodd","Did I sense a sigh of relief that we didn't privatize Social Security?",Speech,
