"Speaker","Speech"
"Chairman Dodd","The Committee will come to order. Let me welcome our guests who are in the hearing room this morning, as well as to welcome our very distinguished panel of witnesses, and we thank the four of you and the second panel that is going to come as well. I have informed our colleagues already, those who are here, and others, we are under some time constraints. We have a couple of votes around 10:30 that are coming up on the floor of the Senate. There is a meeting that we are going to have that begins a little after noon that many of us are going to have to attend later. So we are not going to make any opening statements, including the Chairman and the Ranking Member. We have agreed this morning just to get right to our witnesses. I know my colleague from Tennessee would like that precedent, I tell you. He has been dying for that moment for 2 years. "
"Senator Shelby","Mr. Chairman, when he was mayor, nobody spoke."
"Chairman Dodd","No, no. Just the mayor spoke. We are not setting precedent here, but we are certainly going to, this morning, move in that direction. So let me thank again everyone for being with us this morning. Obviously, strengthening and streamlining prudential bank supervision is a major subject matter. We have had I do not know how many hearings. What is the number? Twenty-eight hearings since January on this subject matter of financial modernization regulations. And, obviously, this is a very critical piece to the extent we are going to have consolidation of our financial regulators. And so I welcome our witnesses here this morning. Many-- well, all of you have been before us on numerous occasions to talk about the various aspects of the financial troubles our Nation has been in over the last number of years. And I just want to make one point, and I know all of you at the table pretty well, and I know you understand this because I believe you care about this as well. Our job, obviously, here is not to protect regulators. Our job is, obviously, to protect the people who count on us and you and the system to provide the safety and soundness and the stability of the financial markets. That is what this is all about. And I know you get that and understand that, but I sometimes think we need to clear the air a little bit to make sure people understand what we are talking about as we describe the structure and the architecture that will provide that sense of stability and safety and soundness that we are looking for. So, with that, let me just turn directly, if I can, to you, Sheila, to start in on this. I will ask you to try and be brief. Again, all the documents and all of my colleagues' opening statements will be included in the record at this point here. We will try and be a little more careful on the clock than we might otherwise be because of time constraints. Jim, I am just explaining we have got some votes in an hour and a half or so. We are going to try and move along to the extent possible. Sheila, we thank you again for being with us. "
"STATEMENT OF SHEILA C. BAIR, CHAIRMAN, FEDERAL DEPOSIT INSURANCE CORPORATION"," "
"Ms. Bair","Thank you, Senator Dodd, Ranking Member Shelby, and Members of the Committee. Today you have asked us to address the regulatory consolidation aspects of the Administration's proposal and whether there should be further consolidation. The yardstick for any reform should be whether it deals with the fundamental causes of the current crisis and helps guard against future crises. Measured by that yardstick, we do not believe the case has been made for regulatory consolidation of State and Federal charters. Among the many causes of the current crisis, the ability to choose between a State and Federal charter was not one of them. As a consequence, we see little benefit to regulatory consolidation and the potential for great harm and its disruptive impact and greater risk of regulatory capture and dominance by large banking organizations. The simplicity of a single bank regulator is alluring. However, such proposals have rarely gained traction in the past because prudential supervision of FDIC-insured banks has, in fact, worked well compared to the regulatory structures used for other U.S. financial sectors and to those used overseas. Indeed, this is evidenced by the fact that large swaths of the so-called ``shadow banking sector'' have collapsed back into the healthier insured sector. And U.S. banks, notwithstanding the current problems, entered this crisis with stronger capital positions and less leverage than their international competitors. A significant cause of the crisis was the exploitation of regulatory gaps between banks and the shadow nonbank financial system and virtually no regulation of the over-the-counter derivatives contracts. There were also gaps in consumer protection. To address these problems, we have previously testified in support of a systemic risk council that would help assure coordination and harmonization of prudential standards among all types of financial institutions. And a council would address regulatory arbitrage among the various financial sectors. We also support a new consumer agency to assure strong rules and enforcement of consumer protection across the board. However, we do not see merit or wisdom in consolidating all Federal banking supervision. The risk of weak or misdirected regulation would be exacerbated by a single Federal regulator that embarked on a wrong policy course. Prudent risk management argues strongly against putting all your regulatory and supervisory eggs in one basket. One of the advantages of multiple regulators is that it permits diverse viewpoints to be heard. For example, during the discussion of Basel II, the FDIC voiced deep and strong concerns about the reduction in capital that would have resulted. Under a unified regulator, the advanced approaches of Basel II could have been implemented much more quickly and with fewer safeguards, and banks would have entered this crisis with much lower levels of capital. Also, there is no evidence that shows a single financial regulatory structure was better at avoiding the widespread economic damage of the past 2 years. Despite their single- regulator approach, the financial systems in other countries have all suffered during the crisis. Moreover, a single-regulator approach would have serious consequences for two mainstays of the American financial system: the dual banking system and deposit insurance. The dual banking system and the regulatory competition and diversity that it generates is credited with spurring creativity and innovation in financial products and the organization of financial activities. State-chartered institutions tend to be community-oriented and very close to the small businesses and customers they serve. They provide the funding that supports economic growth and job creation, especially in rural areas. Main Street banks also are sensitive to market discipline because they know they are not too big to fail and that they will be closed if they become insolvent. A unified supervisory approach would inevitably focus on the largest banks to the detriment of community banking. In turn, this could cause more consolidation in the banking industry at a time when efforts are underway to reduce systemic exposure to very large financial institutions and to end ``too big to fail.'' Concentrating examination authority in a single regulator also could hurt bank deposit insurance. The loss of an ongoing and significant supervisory role would greatly diminish the effectiveness of the FDIC's ability to perform a congressional mandate. It would hamper our ability to reduce systemic risk through risk-based premiums and to contain the costs of deposit insurance by identifying, assessing, and taking actions to mitigate risk to the Deposit Insurance Fund. To summarize, the regulatory reforms should focus on eliminating the regulatory gaps I have just outlined. Proposals to create a unified supervisor would undercut the many benefits of our dual banking system and would reduce the effectiveness of deposit insurance, and, most importantly, they would not address the fundamental causes of the current crisis. Thank you."
"Chairman Dodd","Thank you very much, and I apologize, Sheila, for not properly introducing you here as the Chairperson of the Federal Deposit Insurance Corporation. I kind of assume everybody knows who you are, so I kind of jumped into that, and I apologize. John Dugan is the Comptroller of the Currency, and we thank you very much, a well-known figure to this Committee, having served on this side of the dais for a number of years and now at the OCC. So we thank you, John. "
"STATEMENT OF JOHN C. DUGAN, COMPTROLLER OF THE CURRENCY, OFFICE OF THE COMPTROLLER OF THE CURRENCY"," "
"Mr. Dugan","Thank you very much, Mr. Chairman. Chairman Dodd, Ranking Member Shelby, and Members of the Committee, I appreciate this opportunity to discuss the Administration's proposal for regulatory reform. The OCC supports many elements of the proposal, including the establishment of a council of financial regulators to identify and monitor systemic risk and enhanced authority to resolve systemically significant financial firms. We also believe it would be appropriate to establish a consolidated supervisor of all systemically significant financial firms. The Federal Reserve already plays this role for the largest bank holding companies, but during the financial crisis, the absence of a comparable supervisor for large securities and insurance firms proved to be an enormous problem. The proposal would fill this gap by extending the Federal Reserve's holding company regulation to such firms, which we believe would be appropriate. However, one aspect of the proposal goes much too far, which is to grant broad new authority to the Federal Reserve to override the primary banking supervisor on standards, examination, and enforcement applicable to the bank. Such override power would fundamentally undermine the authority and accountability of the banking supervisor. We also support the proposal to effectively merge the OTS into the OCC with a phase-out of the Federal Thrift Charter. My written testimony responds in detail to the Chairman's questions about options for additional banking agency consolidation by: first, establishing either the Federal Reserve or the FDIC as the single Federal agency responsible for regulating State-chartered banks; second, establishing a single prudential supervisor to supervise all national and State banks; and, third, transferring all holding company regulation from the Federal Reserve to the prudential supervisor. While there are significant potential benefits to be gained from all three proposals, there are also potential costs, especially with removing the Federal Reserve altogether from the holding company regulation of systemically important companies. Finally, we support enhanced consumer financial protection standards and believe that a dedicated consumer protection agency could help to achieve that goal. However, we have significant concerns with the parts of the proposed CFPA that would consolidate all financial consumer protection rulewriting, examination, and enforcement in a single agency which would completely divorce these functions from safety and soundness regulation. It makes sense to consolidate all consumer protection rulewriting in a single agency with the rules applying to all financial providers of a product, both bank and nonbank. But we believe the rules must be uniform and that banking supervisors must have meaningful input into formulating them. Unfortunately, the proposed CFPA falls short on both counts. First, the rules would not be uniform because the proposal would expressly authorize States to adopt different rules for all financial firms, including national banks, by repealing the Federal preemption that has always allowed national banks to operate under uniform Federal standards. This repeal of a uniform Federal standards option is a radical change that will make it far more difficult and costly for national banks to provide financial services to consumers in different States having different rules, and these costs will ultimately be borne by the consumer. The change will also undermine the national banking charter and the dual banking system that have served us well for nearly 150 years. Second, the rules do not afford meaningful input from banking supervisors, even on real safety and soundness issues, because in the event of any disputes, the proposed CFPA would always win. The new agency needs to have a strong mechanism for ensuring meaningful bank supervisor input into CFPA rulemaking. Finally, the CFPA should not take examination and enforcement responsibilities away from the banking agencies. The current bank supervisory process works well where the integration of consumer compliance and safety and soundness supervision provides real benefits for both functions. Moreover, moving bank examination and enforcement functions to the CFPA would only distract it from its most important and daunting implementation challenge--that is, establishing an effective enforcement regime for the shadow banking system of the literally tens of thousands of nonbank providers that are currently unregulated or lightly regulated, like mortgage brokers and originators. The CFPA's resources should be focused on this fundamental regulatory gap rather than on already regulated depository institutions. Thank you very much."
"Chairman Dodd","Thank you very much. Dan Tarullo, from the Federal Reserve Board, we thank you, Dan, once again for coming before the Committee. Happy to hear your testimony. "
"STATEMENT OF DANIEL K. TARULLO, MEMBER, BOARD OF GOVERNORS OF THE FEDERAL RESERVE SYSTEM"," "
